body,title,url
"“El Ministerio de Relaciones Exteriores comunica que la ministra Karen Longaric dio positivo a los análisis de Covid-19. Con características asintomáticas, la canciller permanece en aislamiento en su domicilio y cumplirá con el tratamiento correspondiente”. Este comunicado fue el último que en los últimos días ha sorprendido a los bolivianos, cuyo gobierno interino ha sido uno de los más golpeados por la pandemia a nivel global. Así, la canciller se sumó a la lista de al menos 13 contagiados, encabezada por la propia Presidenta interina, Jeanine Áñez.",Bolivia: el gabinete más golpeado por la pandemia,https://www.latercera.com//mundo/noticia/bolivia-el-gabinete-mas-golpeado-por-la-pandemia/MW5ADIKI4VAJVHKRZVF55ZL3RU/
"Cerca de las 17:00 horas de este domingo, personal de la 47° Comisaría de Los Dominicos de Carabineros realizó el hallazgo de dos personas fallecidas al interior de su domicilio en la comuna de Las Condes, al oriente de la Región Metropolitana.",Carabineros encuentra a dos adultos mayores fallecidos al interior de su hogar en Las Condes,https://www.latercera.com//nacional/noticia/carabineros-encuentra-a-dos-adultos-mayores-fallecidos-al-interior-de-su-hogar-en-las-condes/H5OHXMD57NEALE7MTVVITDZU7M/
"Este lunes un total de 17 estados de Estados Unidos y el Distrito de Columbia presentaron una demanda contra la administración de Donald Trump por el anunció de la eventual suspensión de visas de estudiantes extranjeros que se encuentren estudiando en universidades del país que hayan suspendido todas sus clases presenciales y estén en modalidad virtual, según informó The New York Times.",Demandan a Trump por suspensión de visas para estudiantes extranjeros que tengan solo clases online,https://www.latercera.com//mundo/noticia/demandan-a-trump-por-suspension-de-visas-para-estudiantes-extranjeros-que-tengan-solo-clases-online/M7VZSOK33JBKRIKANNH7PXP6AA/
"Uno de los impactos más devastadores de la pandemia es en el trabajo. Por primera vez en una década el desempleo superó los dos dígitos (11,2%) y uno de los sectores más damnificados son los mayores de 60 años: por cada 100 empleos perdidos, 19 son de ese grupo. Así lo concluye un estudio del Observatorio del Envejecimiento de la U. Católica-Confuturo.",Casi 400 mil mayores de 60 años perdieron su empleo por la pandemia,https://www.latercera.com//que-pasa/noticia/casi-400-mil-mayores-de-60-anos-perdieron-su-empleo-por-la-pandemia/52L46UYPFNCAZD7QU5IRQUPXOI/
"La pérdida y el desperdicio de alimentos es un problema serio: alrededor de un tercio de los alimentos que se producen en el mundo a diario se pierden o desperdician, lo que representa cerca de 1.300 millones de toneladas anuales, según precisa la Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO). A diferencia de las pérdidas –que ocurren, por ejemplo, cuando se envasa mal un alimento y por ello queda en mal estado– los desperdicios ocurren en las fases de distribución y consumo de la cadena alimentaria, cuando botamos una parte de un alimento que creemos que no tiene utilidad o cuando conservamos por mucho tiempo alimentos hasta que se descomponen. El problema es que los desperdicios no solo tienen un costo monetario, también hay uno ambiental que, de hecho, representa el 8% de las emisiones de gases de efecto invernadero generadas por el hombre.",Ideas para evitar el desperdicio de alimentos en casa,https://www.latercera.com//paula/ideas-para-evitar-el-desperdicio-de-alimentos-en-casa/
"El conflicto entre los poderes, en especial entre el Ejecutivo y Legislativo, ha marcado el debate en las últimas semanas por mociones inconstitucionales y la respuesta del gobierno a éstas. ¿Está en crisis el régimen político actual? Para algunos el presidencialismo (o hiperpresidencialismo según a quien se pregunte) no da para más por lo que es urgente estudiar reformas. Para otros se trata de una oportunidad de retomar el diálogo entre los poderes. En Re:Constitución consultamos a las cientistas políticas Gloria de la Fuente (Chile 21) y Julieta Suárez-Cao (Universidad Católica), a la abogada constitucionalista Constanza Hube y Magdalena Ortega, abogada y directora de Formación y Servicio Público de Idea País, cómo ven este conflicto y de qué manera podría influir en el debate por una nueva Constitución.",El régimen político bajo análisis: El debate que desató las diferencias entre el gobierno y el Congreso,https://www.latercera.com//reconstitucion/noticia/el-regimen-politico-bajo-analisis-el-debate-que-desato-las-diferencias-entre-el-gobierno-y-el-congreso/DDBBWQEBDRFCHJ6HB63MMOU2H4/
"Bajo estrictos protocolos de seguridad, y con la ayuda de personal de las Fuerzas Armadas y Carabineros, durante la noche se trasladan en camiones las cajas de alimentos que deben ser distribuidas a nivel nacional en el marco del programa Alimentos Para Chile que el presidente Sebastián Piñera lanzó el 18 de mayo. La meta original era entregar 2.5 millones de canastas; ahora el Ejecutivo espera distribuir 3 millones de cajas.",Mayorista de ferias de barrio desplaza a Scuncio como principal proveedor de cajas de alimento en pandemia,https://www.latercera.com//la-tercera-pm/noticia/sudamericana-spa-desplaza-a-scuncio-como-principal-principal-proveedor-de-cajas-de-alimentos/UEKVV3C6GNFR7NLQFMCANPUGKQ/
Expertos en salud pública y autoridades de gobierno dicen estar preocupados por el rol que están teniendo los bares y restaurantes en el aumento de los casos de Covid-19 en distintas zonas de Estados Unidos.,Qué hace que bares y restaurantes sean potenciales focos de transmisión del Covid-19,https://www.latercera.com//que-pasa/noticia/que-hace-que-bares-y-restaurantes-sean-potenciales-focos-de-transmision-del-covid-19/5HCMD3FQEVHW5LEGBBJZPKAU4A/
Uno de los primeros trabajos del director James Gunn (Los Guardianes de la Galaxia) fue escribir el guión de la película live-action de Scooby-Doo. Por eso no sorprende que sea consultado sobre la clásica serie animada de forma recurrente.,Velma de Scooby-Doo era homosexual tanto en la película live-action como en la serie animada de 2010,https://www.latercera.com//mouse/velma-de-scooby-doo-era-homosexual-tanto-en-la-pelicula-live-action-como-en-la-serie-animada-de-2010/
"En medio del severo impacto de la crisis del coronavirus enla actividad económica y el mercado laboral, las condiciones en el otorgamiento de crédito a los hogares se volvieron más restrictivas en el segundo trimestre.",Bancos elevan restricciones para el otorgamiento de créditos hipotecarios y demanda se debilita,https://www.latercera.com//pulso/noticia/bancos-reportan-mayores-restricciones-para-el-otorgamiento-de-creditos-hipotecarios/HLBFVNLJCRGXBPYRNEQBXPQMO4/
